职位编号,工作地点,地区,公司名称,岗位名称,薪酬待遇,技能标签,创建时间,工作年限,学历要求
1,上海,金海路,华为技术有限公司,高级软件开发工程师,25k-50k,['C++'  'C'  '嵌入式'  '分布式'],2019-05-24 11, 3-5年,本科
2,深圳,无,华为技术有限公司,开源软件系统开发工程师,20k-40k,['C++'  'Linux/Unix'  'Golang'],2019-05-23 11, 5-10年,本科
3,上海,曲阜路,华为技术有限公司,云计算系统架构专家,50k-80k,无,2019-05-21 19, 10年以上,本科
4,深圳,无,华为技术有限公司,高级前端工程师,20k-30k,['HTML'  'Javascript'  'CSS'  'React native'],2019-05-23 11, 3-5年,本科
5,东莞,无,华为技术有限公司,物流规划高级/主任工程师,40k-60k,无,2019-05-22 14, 5-10年,本科
6,武汉,三阳路,华为技术有限公司,算法工程师,20k-30k,无,2019-05-23 16, 1-3年,本科
7,成都,锦城广场,华为技术有限公司,算法工程师,20k-30k,无,2019-05-23 16, 1-3年,本科
8,东莞,无,华为技术有限公司,物流自动化高级工程师,30k-40k,['自动化'],2019-05-22 15, 5-10年,本科
9,东莞,无,华为技术有限公司,物流仿真建模高级/主任工程师,30k-50k,无,2019-05-22 15, 5-10年,本科
10,东莞,无,华为技术有限公司,大数据分析与应用高端专家,50k-80k,['人工智能'  '数据挖掘'  '算法'  '建模'],2019-05-22 14, 5-10年,硕士
11,成都,无,华为技术有限公司,通用软件开发工程师,15k-30k,['分布式'  'C'  'Linux/Unix'  'Python'],2019-05-21 10, 3-5年,本科
12,西安,无,华为技术有限公司,关键器件测试开发,15k-23k,['电路设计'  '硬件开发'],2019-05-20 16, 5-10年,本科
13,成都,无,华为技术有限公司,安全测试,15k-30k,['测试'],2019-05-21 10, 3-5年,本科
14,成都,无,华为技术有限公司,安全测试工程师,15k-30k,['白盒测试'],2019-05-21 10, 不限,本科
15,成都,锦城广场,华为技术有限公司,轻核CPU验证工程师,17k-34k,无,2019-05-15 14, 1-3年,本科
16,北京,东单,华为技术有限公司,轻核CPU验证工程师,17k-34k,无,2019-05-15 14, 1-3年,本科
17,西安,无,华为技术有限公司,智能计算-高级系统架构师,18k-25k,['系统架构'],2019-05-14 16, 5-10年,本科
18,成都,无,华为技术有限公司,web前端,15k-30k,['HTML'  'Javascript'  'CSS'],2019-05-21 10, 3-5年,本科
19,西安,无,华为技术有限公司,大屏产品整机架构师,13k-20k,['架构师'],2019-05-14 16, 5-10年,本科
20,西安,无,华为技术有限公司,数字芯片设计工程师,18k-25k,['FPGA'  '电路设计'],2019-05-14 16, 5-10年,本科
21,西安,无,华为技术有限公司,高级软件工程师,14k-25k,['后端'  'C++'  'C'],2019-05-14 16, 3-5年,本科
22,西安,无,华为技术有限公司,大数据工程师,13k-25k,['Java'  '数据库开发'  'MySQL'  'Scala'],2019-05-14 16, 5-10年,本科
23,深圳,无,华为技术有限公司,IT解决方案销售经理new(全球 中国区),15k-30k,['售前支持'],2019-05-21 10, 5-10年,本科
24,西安,无,华为技术有限公司,c++开发工程师,12k-24k,['平台'  'C++'  'C'],2019-05-16 14, 5-10年,本科
25,西安,无,华为技术有限公司,安全开发工程师,13k-20k,['Linux/Unix'  'Java'  'Javascript'  'Python'],2019-05-14 16, 3-5年,本科
26,深圳,无,华为技术有限公司,IT产品线首席安全渗透测试专家,50k-100k,无,2019-05-13 15, 不限,本科
27,西安,无,华为技术有限公司,大屏产品系统架构师,13k-20k,['系统架构'],2019-05-14 16, 5-10年,本科
